name;a;b;date
Lucillo;16190;16269;2020-08-01
Crémenes;9101;12105;2020-08-01
Riaño;1901;7369;2020-08-01
Maraña;1839;2667;2020-08-01
Valdepiélago;7717;10348;2020-08-01
Congosto;2674;18199;2020-08-01
San Cristóbal de la Polantera;9561;9910;2020-08-01
Vallecillo;1314;4592;2020-08-01
Castrotierra de Valmadrigal;0;3813;2020-08-01
Zotes del Páramo;2718;10412;2020-08-01
Villaobispo de Otero;11616;12242;2020-08-01
Garrafe de Torío;324;30442;2020-08-01
Val de San Lorenzo;2777;15083;2020-08-01
Laguna de Negrillos;14431;16251;2020-08-01
Valderrueda;24265;24465;2020-08-01
El Burgo Ranero;9744;17941;2020-08-01
Villazanzo de Valderaduey;9935;11022;2020-08-01
La Ercina;11960;12672;2020-08-01
Izagre;3833;5970;2020-08-01
Vegacervera;3700;5967;2020-08-01
Carrocera;11204;11982;2020-08-01
Sancedo;0;8109;2020-08-01
Trabadelo;3271;11491;2020-08-01
Castrillo de la Valduerna;2416;2451;2020-08-01
Soto y Amío;13333;16730;2020-08-01
Carrizo;3728;26096;2020-08-01
Las Omañas;7528;7528;2020-08-01
Santa Colomba de Curueño;15003;16077;2020-08-01
Campo de Villavidel;0;4552;2020-08-01
Villablino;50764;62069;2020-08-01
Castrocontrigo;11630;21084;2020-08-01
Benavides;12891;26413;2020-08-01
Gradefes;24585;24585;2020-08-01
Luyego;16043;18805;2020-08-01
Villafranca del Bierzo;355;33615;2020-08-01
Truchas;7862;16792;2020-08-01
Oseja de Sajambre;7218;7589;2020-08-01
Arganza;0;14397;2020-08-01
Vegas del Condado;19239;25155;2020-08-01
Pozuelo del Páramo;8338;9444;2020-08-01
La Robla;17855;35528;2020-08-01
León;5584;162078;2020-08-01
San Millán de los Caballeros;3935;3935;2020-08-01
Burón;6614;11140;2020-08-01
Santa María del Monte de Cea;8570;8570;2020-08-01
San Justo de la Vega;14337;23368;2020-08-01
Bustillo del Páramo;25163;25574;2020-08-01
Santa María de Ordás;10041;10105;2020-08-01
Laguna Dalga;3072;7770;2020-08-01
Puebla de Lillo;5187;7140;2020-08-01
Prioro;7719;8788;2020-08-01
Toral de los Guzmanes;11685;11685;2020-08-01
Molinaseca;5738;11169;2020-08-01
Peranzanes;128;10166;2020-08-01
Cea;10218;11537;2020-08-01
Castilfalé;98;2684;2020-08-01
Matadeón de los Oteros;0;5671;2020-08-01
Priaranza del Bierzo;6468;7993;2020-08-01
Villamanín;11131;20590;2020-08-01
Murias de Paredes;11045;14750;2020-08-01
Valdelugueros;4941;4941;2020-08-01
San Adrián del Valle;3093;3228;2020-08-01
Valderas;1743;14318;2020-08-01
Valdefresno;941;33335;2020-08-01
Igüeña;921;24563;2020-08-01
Sabero;21618;21772;2020-08-01
Valverde de la Virgen;1605;34728;2020-08-01
Villabraz;5128;5128;2020-08-01
Cabañas Raras;2574;22941;2020-08-01
Riello;21429;24848;2020-08-01
Toral de los Vados;408;26381;2020-08-01
Borrenes;3668;8309;2020-08-01
Vegaquemada;13110;13110;2020-08-01
Vega de Infanzones;0;12264;2020-08-01
Santa María del Páramo;3990;17958;2020-08-01
Quintana del Marco;6225;6282;2020-08-01
Quintana y Congosto;10039;10573;2020-08-01
Grajal de Campos;5258;6545;2020-08-01
Gordaliza del Pino;0;4400;2020-08-01
Folgoso de la Ribera;1229;23496;2020-08-01
Villamejil;18703;18703;2020-08-01
Cuadros;189;27926;2020-08-01
Ardón;0;13132;2020-08-01
Mansilla de las Mulas;7;19449;2020-08-01
Valdefuentes del Páramo;7206;8754;2020-08-01
Carracedelo;968;41341;2020-08-01
Villares de Órbigo;2215;10747;2020-08-01
Castrillo de Cabrera;377;6553;2020-08-01
Valencia de Don Juan;5208;32262;2020-08-01
Vega de Espinareda;251;31103;2020-08-01
Fresno de la Vega;0;9287;2020-08-01
Villaquilambre;438;91720;2020-08-01
Reyero;2954;2954;2020-08-01
Villamartín de Don Sancho;2780;2780;2020-08-01
Villaselán;6710;6775;2020-08-01
Valdesamario;7593;7970;2020-08-01
Villagatón;22464;22966;2020-08-01
Torre del Bierzo;12227;33861;2020-08-01
Santa Elena de Jamuz;10907;16135;2020-08-01
Cimanes del Tejar;13293;14162;2020-08-01
Palacios de la Valduerna;2701;8337;2020-08-01
Bercianos del Real Camino;20;6233;2020-08-01
La Antigua;11034;12164;2020-08-01
Villamontán de la Valduerna;15441;16141;2020-08-01
Encinedo;11896;15315;2020-08-01
Ponferrada;36461;219747;2020-08-01
Villamol;5265;5265;2020-08-01
Villaornate y Castro;8386;8553;2020-08-01
Carucedo;4829;13473;2020-08-01
Astorga;11579;46144;2020-08-01
San Pedro Bercianos;1994;6171;2020-08-01
Hospital de Órbigo;1308;9612;2020-08-01
Los Barrios de Luna;9186;9186;2020-08-01
Llamas de la Ribera;4827;12424;2020-08-01
Gusendos de los Oteros;0;4733;2020-08-01
Acebedo;4175;7201;2020-08-01
Soto de la Vega;21463;26696;2020-08-01
Cubillas de Rueda;5705;10007;2020-08-01
Cabrillanes;14771;17736;2020-08-01
Villamañán;157;15344;2020-08-01
Posada de Valdeón;6461;6461;2020-08-01
Villamoratiel de las Matas;0;5113;2020-08-01
Alija del Infantado;5805;12499;2020-08-01
Santa Colomba de Somoza;13832;17092;2020-08-01
Cabreros del Río;0;8697;2020-08-01
Onzonilla;105;14897;2020-08-01
Almanza;11184;11184;2020-08-01
Quintana del Castillo;23581;27693;2020-08-01
Valdemora;0;1927;2020-08-01
Villaquejida;6233;15019;2020-08-01
Santovenia de la Valdoncina;250;18615;2020-08-01
Matanza;6002;6511;2020-08-01
Rioseco de Tapia;7073;7389;2020-08-01
Cármenes;7030;7246;2020-08-01
Sena de Luna;10129;12600;2020-08-01
Camponaraya;3445;36664;2020-08-01
Barjas;1399;9214;2020-08-01
Sariegos;4111;46496;2020-08-01
Castropodame;13396;22581;2020-08-01
Villanueva de las Manzanas;0;11861;2020-08-01
Cacabelos;2260;34765;2020-08-01
Cebrones del Río;3234;8337;2020-08-01
Magaz de Cepeda;14415;14924;2020-08-01
San Esteban de Nogales;2677;2677;2020-08-01
Santas Martas;60;21830;2020-08-01
Burgos;690486;2736884;2020-08-01
Salamanca;3022;2361066;2020-08-01
Palencia;433400;1254131;2020-08-01
Ávila;422760;1917865;2020-08-01
Soria;338178;907704;2020-08-01
Valladolid;262119;2285810;2020-08-01
Segovia;519887;1584947;2020-08-01
León;1504932;3771863;2020-08-01
Zamora;737459;1900784;2020-08-01
El Maíllo;0;4334;2020-08-01
Florida de Liébana;0;7372;2020-08-01
Gajates;0;6455;2020-08-01
Mozárbez;303;6794;2020-08-01
Tamames;0;8784;2020-08-01
Ahigal de Villarino;0;1974;2020-08-01
Monsagro;0;2267;2020-08-01
Agallas;0;4867;2020-08-01
Negrilla de Palencia;0;2626;2020-08-01
Brincones;0;2421;2020-08-01
Peralejos de Abajo;0;5823;2020-08-01
Machacón;0;6837;2020-08-01
Villaflores;0;5107;2020-08-01
Morasverdes;0;5472;2020-08-01
La Atalaya;0;3643;2020-08-01
Anaya de Alba;0;5899;2020-08-01
Peñaparda;0;6915;2020-08-01
Topas;0;5477;2020-08-01
Sepulcro-Hilario;0;4972;2020-08-01
La Maya;0;3981;2020-08-01
Aldeaseca de Alba;0;3156;2020-08-01
Juzbado;0;2729;2020-08-01
Paradinas de San Juan;0;5194;2020-08-01
Cerezal de Peñahorcada;0;3259;2020-08-01
Puerto Seguro;0;2623;2020-08-01
Villamayor;0;43092;2020-08-01
Montejo;0;4802;2020-08-01
San Pelayo de Guareña;0;1880;2020-08-01
Puebla de Azaba;0;5283;2020-08-01
Dios le Guarde;0;2725;2020-08-01
Pedraza de Alba;0;5512;2020-08-01
Éjeme;0;2942;2020-08-01
Las Casas del Conde;0;1208;2020-08-01
Rágama;0;3684;2020-08-01
Espeja;0;6272;2020-08-01
Horcajo de Montemayor;0;3457;2020-08-01
Pinedas;0;2912;2020-08-01
Villar de Peralonso;0;5183;2020-08-01
Torresmenudas;0;2449;2020-08-01
La Hoya;0;1039;2020-08-01
Monterrubio de la Sierra;0;2647;2020-08-01
Guadramiro;0;4431;2020-08-01
Monleón;0;1886;2020-08-01
Almenara de Tormes;0;3642;2020-08-01
Pozos de Hinojo;0;2270;2020-08-01
Macotera;0;14601;2020-08-01
Berrocal de Huebra;0;2675;2020-08-01
Espino de la Orbada;0;4296;2020-08-01
Aldea del Obispo;0;7359;2020-08-01
Galisancho;0;6892;2020-08-01
Navales;105;4754;2020-08-01
Linares de Riofrío;0;10926;2020-08-01
Bañobárez;0;6745;2020-08-01
Casillas de Flores;0;4271;2020-08-01
Parada de Arriba;0;3280;2020-08-01
Barbadillo;0;5114;2020-08-01
Saelices el Chico;0;4118;2020-08-01
Encinasola de los Comendadores;0;5794;2020-08-01
La Cabeza de Béjar;0;3073;2020-08-01
El Cubo de Don Sancho;0;6856;2020-08-01
Retortillo;0;3645;2020-08-01
La Sagrada;0;3710;2020-08-01
San Martín del Castañar;0;3038;2020-08-01
Villavieja de Yeltes;0;12092;2020-08-01
Castillejo de Martín Viejo;0;4357;2020-08-01
Garcihernández;339;8612;2020-08-01
Pelayos;0;3040;2020-08-01
El Pedroso de la Armuña;0;3241;2020-08-01
Valdehijaderos;0;1865;2020-08-01
Monleras;0;6398;2020-08-01
El Sahúgo;0;3969;2020-08-01
Salvatierra de Tormes;0;3047;2020-08-01
La Calzada de Béjar;0;2378;2020-08-01
Las Veguillas;0;4451;2020-08-01
Saldeana;0;3213;2020-08-01
La Bastida;0;1140;2020-08-01
Pereña de la Ribera;0;5167;2020-08-01
Valdemierque;0;1911;2020-08-01
Gejuelo del Barro;0;1319;2020-08-01
Tabera de Abajo;0;825;2020-08-01
Barceo;0;2828;2020-08-01
Calvarrasa de Arriba;0;8466;2020-08-01
Madroñal;0;875;2020-08-01
Navacarros;0;1546;2020-08-01
Cepeda;0;4345;2020-08-01
Valero;0;3327;2020-08-01
Valderrodrigo;0;3228;2020-08-01
Babilafuente;0;11443;2020-08-01
El Cerro;0;5936;2020-08-01
Aldeanueva de la Sierra;0;2275;2020-08-01
El Arco;0;892;2020-08-01
Palaciosrubios;0;5624;2020-08-01
Santibáñez de Béjar;0;8576;2020-08-01
Navasfrías;0;6861;2020-08-01
Sardón de los Frailes;0;2510;2020-08-01
Endrinal;0;3565;2020-08-01
La Bouza;0;2443;2020-08-01
Carpio de Azaba;0;2420;2020-08-01
Cabezabellosa de la Calzada;0;2120;2020-08-01
Tremedal de Tormes;0;2248;2020-08-01
Garcibuey;0;1506;2020-08-01
Villar de Ciervo;0;7152;2020-08-01
Aldealengua;0;5274;2020-08-01
Cantagallo;0;3847;2020-08-01
Nava de Béjar;0;1890;2020-08-01
Peñarandilla;0;4094;2020-08-01
Puebla de Yeltes;0;3162;2020-08-01
Sando;0;3398;2020-08-01
